image,date,source,post_text,district,language,domain,notes,platform,source_name,signal_strength,predicted_domain,pred_score
,2025-2026,,এজাক বৰষুণৰ পিছত এয়া গতি... বহুত মানুহ দেখিছোঁ যত খাব তাতে পেলাব সেইবাবে এতিয়া কৃত্ৰিম বানপানী বেছি হয়। কিছুমান কাণ্ড জ্ঞান নোহোৱা বোৰৰ বাবে সাধাৰণ মানুহ খিনিও যন্ত্ৰণা ভুগিব লাগে। জাবৰ সমূহ ৰাতি ৰাতি গৈ পেলাই আহিব। কিছুমান দোকান আছে জাবৰ খিনি সাৰি আনি নলাৰ ফুটাৰে সোমাই দিব। (কেইদিন মান আগতে মই নিজে দেখিছোঁ ৰাতি 10.30 মানত এঠাইৰ পৰা মানুহ জন মই আহি থাকোঁতে একাংশ লৰা ছোৱালী fast food খাই আছে আৰু ,Assam (General),Assamese,Flood,,Facebook,Chimi Bezbaruah Mandal Gauhatiত আছে।,Moderate,Flood,8
,2025-2026,,Good morning Guwahati যোৱা ৰাতি বৰষুণত হোৱা কৃত্ৰিম বানপানী হে ভগৱান দ‌‌‌য়া কৰা আৰু কিমান দিয়ে বৰষূণ দয়া কৰা,Kamrup Metro,Assamese,Flood,,Facebook,Mantu Kumar Das কবিতা দাস আৰু,Moderate,Flood,8
,2025-2026,,অসমৰ বানপানী পৰিস্থিতি সম্পৰ্কে আলোচনা মুখ্যমন্ত্ৰী ড° হিমন্ত বিশ্ব শৰ্মাক সাক্ষাৎ ছত্তীশগড়ৰ ৰাজ্যপাল ৰমেন ডেকাৰ,Assam (General),Assamese,Flood,,Facebook,Asomiya Pratidin,Moderate,Flood,7
,2025-2026,,"আমাৰ স্মাৰ্ট ছিটি গুৱাহাটীত এজাক বৰষুণ ফলত হাতীগাওঁ, বেলতলা ছাৰ্ভে বানপানী সদৃশ হয় ।গুৱাহাটীত ছিটিত প্ৰতিবছৰে ১২ মাহৰ ৫ মাহ সময় কিচুমান ঠাই ডুবি থাকে । যিমানে বানমুক্ত ছলোগাণ দি ভোট লৈ আছে পানী বছৰৰ পিছত আৰু বেছিকৈ পানী হৈ আছে । বানমুক্ত কৰিম বুলি প্ৰতিশ্ৰুতি ঠিকেই দিয়ে ভোটৰ পিছতে পাহৰি যায় ।",Kamrup Metro,Assamese,Flood,,Facebook,Saidur Rahman,Moderate,Flood,9
,2025-2026,,"বানপানী বানপানী,,, কৃত্ৰিম বানপানী।। #Todayguwahati #flooding #Assam",Kamrup Metro,Assamese,Flood,,Facebook,Bhaben Borah,Moderate,Flood,13
,2025-2026,,'নিজ সমষ্টিত মহাপ্ৰলয়ৰ সময়ত ৰাইজৰ বাবে একোৱেই নকৰিলে গৌৰৱ গগৈয়ে' বান বিপৰ্যয়ৰ সময়ত গৌৰৱ গগৈৰ নিস্ক্ৰিয়তাক তুলাধুনা অখিল গগৈৰ,Assam (General),Assamese,Flood,,Facebook,News Live,Moderate,Flood,3
,2025-2026,,পুৱাই গুৱাহাটীত বানপানী.. আকৌ বৰষুণ আহিলে পৰিস্থিতি জটিল হ'ব পাৰে.. #artificialflood #guwahati #flood,Kamrup Metro,Assamese,Flood,,Facebook,Jyoti Deep Baishya,Moderate,Flood,11
,2025-2026,,বানপানী হোৱাৰ কামনা নাই কৰা গতিকে চাংঘৰ বনোৱা নাই।,Assam (General),Assamese,Flood,,Facebook,Assam Jet,Moderate,Flood,7
,2025-2026,,"নিশা ধাৰাষাৰ বৰষুণত ফলত ডুব গ'ল মহানগৰী। হাতীগাঁও, ৰুক্মিণীনগৰত কৃত্ৰিম বানপানী।",Kamrup Metro,Assamese,Flood,,Facebook,Peoples' Northeast,Moderate,Flood,9
,2025-2026,,"বানপানী হ'লে সকলোতকৈ দুখজনক হ'য় এই নিমাত অথচ সকলো দুখ বুজি পোৱা পশুধন খিনিৰ। মানুহে কিবাকৈ নিৰাপদ স্থানত আশ্ৰয় লৈ জীৱন বচাব পাৰে কিন্তু এই পশুধন বোৰৰ বহুত বেছি ক্ষতি হ'য়। দেখিলে মন সেমেকি উঠে বানপানী ,বৰষুণ,নদী মোৰ প্ৰথম প্ৰেম এইবোৰ ভাল নালাগে। ধ্ৰুৱজ্যোতি দাস!",Assam (General),Assamese,Flood,,Facebook,ধ্ৰুৱ জ্যোতি দাস,Moderate,Flood,9
,2025-2026,,"আহোমৰ ৬০০বছৰীয়া ৰাজশাসনৰ ৰাজধানী চৰাইদেউ, শিৱসাগৰ আৰু যোৰহাটৰ বান বিভীষিকাৰ আজি এমাহ!১৯জুলাইত নাগালেণ্ডৰ পৰা নামি অহা পানীৰ ঢলে প্ৰথম বিধ্বস্ত কৰিছিল নেপালীখুঁটিত!পিছলৈ…",Charaideo,Assamese,Flood,,Facebook,Topan Borgohain,Moderate,Flood,4
,2025-2026,,কাকডোঙা নৈ মাজত থকা এই শিৱলিঙ্গ ভাগ ইমান ভৰপুৰ বানপানী মাজতো আজিও জিলিকি আছে …,Assam (General),Assamese,Flood,,Facebook,Dergaon Express,Moderate,Flood,7
,2025-2026,,ডাৱৰ বিস্ফোৰণ হোৱা নাগালেণ্ডৰ মন জিলাত এইদৰে চলিছে উদ্ধাৰ অভিযান,Nagaland,Assamese,Weather,,Facebook,The truth.,Moderate,General,0
,2025-2026,,"অৰুণাচল প্ৰদেশত ভয়ংকৰ ডাৱৰ বিস্ফোৰণ আৰু নেৰেনেপাৰা বৰষুণৰ ফলত প্ৰলয়ংকাৰী বান‌ আৰু ভূমিস্খলনৰ সৃষ্টি হৈছে। এই বিধ্বংসী পৰিস্থিতিত কেইবাটাও আৱাসগৃহ, ৰাস্তা- ঘাট উটুৱাই …",Arunachal,Assamese,Flood,,Facebook,Sofiqul Islam Faruqui,Moderate,Flood,4
,2025-2026,,"অৰুণাচলৰ নাচোৰ সমীপত ভূমিস্খলন। ভূমিস্খলনত নিহত ৩জনৰ মৃ/তদেহ উদ্ধাৰ। মাটিৰ তলত সোমাই আছে আন এজন শ্ৰমিক। মৃ/ত লোককেইজন টাদু বাকি, টাজি ৰায়, মাৰ্কাৰোছ বসুমতাৰী, বাবুল আলী।",Arunachal,Assamese,Flood,,Facebook,NKTV Plus,Moderate,General,0
,2025-2026,,পশ্চিম ছিকিমৰ কেইবাটাও অঞ্চলত ভয়াৱহ ভূমিস্খলন গ্ৰন্থৰ লগতে সাহিত্যৰ মুক্ত মঞ্চ প্ৰাচুৰ্যময় প্ৰকৃতি প্ৰকৃতিৰ অৱদান ঔষধি গুণযুক্ত অসংখ্য গছ গছনি আৰু শাক জাতীয় সৰু বৰ উদ্ভিদ অসংখ্য আছে l তাৰে বহুতো আমি চিনি নাপাওঁ আৰু বহুতৰে নাম নাজানো l আনহাতে আমাৰ চৌপাশে থকা চিনাকি অথচ নাম নজনা উদ্ভিদ বহুতো আছে l এই Group ৰ উদ্দেশ্য হব সেই উদ্ভিদ বোৰৰ লগত চিনাকি কৰাই দিয়া আৰু পাৰিলে তাৰ গুণাগুণ বাখ্যা কৰা l আমাৰ এই,Sikkim,Assamese,Flood,,Facebook,Current Trend Assam,Moderate,Health,1
,2025-2026,,ভাৰত -ভূটান সীমান্ত ৰ অৰঙা নদী । ভূটান পাহাৰৰ পৰা নামি অসমত প্ৰৱেশ কৰা এই অৰঙা নদীখনে ব'গামাটিত লগ হৈছে ভূটানপাহাৰৰ আন দিশেৰে বৈ অহা বৰনদীৰ সৈতে । অৰঙা নদীৰ ওপৰৰ ফালে আ…,Assam (General),Assamese,Flood,,Facebook,Pankaj Lochan Deka,Moderate,Flood,1
,2025-2026,,"হাতী মানুহৰ সংঘাত,গোৱালপাৰা জিলাৰ এফালে বনাঞ্চল-জলাশয় আদিৰ মাটি অবৈধ দখলকাৰীয়ে ঘৰ-দুৱাৰ সাজিছে আনফালে খাদ্য আৰু বাসস্থানৰ অভাৱত হাতীয়ে খিলঞ্জীয়া ভুমি পুত্ৰ সকলৰ খেতি-বা…",Goalpara,Assamese,Elephant,,Facebook,জননেতা ভৃগুৰঞ্জন ৰাভাৰ অনুৰাগী,Moderate,Elephant,3
,2025-2026,,"#বেমাৰী পানী লগা, জ্বৰ, কাহ,চৰ্দি গোটেই কেইবিধে আগুৰি ধৰিছে যদিও মোৰ permenent ঔষধ বিধ আছে নহয়-মা.... মাৰ হাতৰ নহৰু তেলৰ মালিচ পৃথিৱীৰ যিকোনো ঔষধতকৈ ওপৰত মোৰ ক…",Assam (General),Assamese,Health,,Facebook,"Anusmita Patowaryএ Panchagram Ras Mahotsav, Baniyakuchiত কৃপাধন্য  অনুভৱ কৰিছে।",Moderate,Health,4
,06/05/2025,,শুভ সন্ধিয়া বন্ধু বান্ধৱী সকল। 3দিন আগতে এটা পোষ্ট কৰিছিলো গুণৰ জ্বৰ হোৱাত এতিয়া ভাল পাইছে। আচলতে এতিয়া গম পালোঁ ভাইৰেল জ্বৰ 4দিনৰ।,Kamrup,Assamese,Health,Personal post about viral fever recovery — Rangia area — Health signal,Facebook,Dharitri Deka (Public Post),Weak,Health,4
,22/04/2025,,কোৰোণা ভাইৰাছৰ অৱস্থিতিত ভেকচিন লোৱাৰ পিছত এতিয়া কোনে সুস্থ বুলি কব খোজে। নানান চিনাকি অচিনাকি ৰোগে আগুৰি ধৰিছে নেকি ৰাইজক। দাম বাঢ়িছে ভেজাল খাইছে ৰোগত আক্ৰান্ত হৈ পৰে।,Assam (General),Assamese,Health,Post-COVID health concern — diseases spreading in Assam — Health signal,Facebook,Hridayananda Talukdar (Public Post),Moderate,Health,4
,04/11/2020,,"কোৰোণা ৱাৰ্ডত লুটপাত। অন্তৰ্ধান মৃতকৰ গহনা, মোবাইল ফোন আৰু ধন। সাৰি নগ'ল কোৰোণা যুদ্ধাও।",Assam (General),Assamese,Health,News18 — COVID ward looting — hospital system under stress — Health signal,Facebook,News18 Assam & NE,Moderate,Health,3
,23/03/2020,,কোৰোণা তই যাব লাগিব। নোৱাৰিবি আমাৰ সতে।,Assam (General),Assamese,Health,Short public post expressing COVID fear — Health sentiment signal,Facebook,Sri Mantu Kr Sarma (Public Post),Weak,Health,3
,09/11/2021,,ডবকা বনাঞ্চল ধংস নকৰিবলৈ আমছুৰ স্মাৰক-পত্ৰ প্ৰদান।,Nagaon,Assamese,Agriculture,Doboka (Nagaon district) forest destruction protest — Agriculture/Environment signal,Facebook,DOBOKA CITY LIVE,Weak,Agriculture,3
,14/07/2025,,ভাইৰেল জ্বৰ বা ফ্লু (Viral Fever / Flu-like Illness) — স্বাস্থ্য সজাগতা।,Assam (General),Assamese,Health,Health awareness page — viral fever post — Health signal,Facebook,Dr Sabin's Care Corner (Public Page),Moderate,Health,7
,2 days ago (Aug 2026),,জ্বৰ আৰু মূৰ বিষৰ কাৰণেহে ঘৰত আছো। বৰ্তমানলৈকে কোনোধৰণৰ প্ৰতিক্ৰিয়া দিব পৰা নাই।,Assam (General),Assamese,Health,Personal post — fever and headache keeping person home — community health signal,Facebook,Bidyut Saikia (Public Post),Weak,Health,1
